Name,NACA 24112
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
99.999690,0.126000
99.931157,0.135445
99.725756,0.163747
99.384084,0.210804
98.907132,0.276449
98.296282,0.360449
97.553298,0.462510
96.680319,0.582282
95.679850,0.719358
94.554749,0.873276
93.308217,1.043528
91.943785,1.229552
90.465298,1.430741
88.876903,1.646435
87.183035,1.875920
85.388399,2.118425
83.497957,2.373115
81.516911,2.639083
79.450692,2.915341
77.304938,3.200814
75.085483,3.494330
72.798339,3.794608
70.449684,4.100253
68.045841,4.409752
65.593267,4.721464
63.098538,5.033625
60.568330,5.344349
58.009406,5.651633
55.428603,5.953366
52.832813,6.247349
50.228973,6.531309
47.624046,6.802925
45.025011,7.059854
42.438842,7.299761
39.872499,7.520355
37.332911,7.719419
34.826955,7.894848
32.361447,8.044685
29.933204,8.166344
27.537731,8.251831
25.183720,8.292008
22.880441,8.279257
20.637611,8.207687
18.465267,8.073306
16.373597,7.874120
14.372756,7.610169
12.472648,7.283495
10.682703,6.898021
9.011669,6.459358
7.467418,5.974540
6.056795,5.451705
4.785516,4.899737
3.658116,4.327891
2.677943,3.745416
1.847198,3.161200
1.167005,2.583448
0.637501,2.019401
0.257931,1.475107
0.026754,0.955243
-0.058271,0.462997
0.000000,0.000000
0.195318,-0.423705
0.521056,-0.799354
0.973235,-1.129117
1.547739,-1.416000
2.240412,-1.663715
3.047151,-1.876524
3.964015,-2.059073
4.987338,-2.216234
6.113831,-2.352936
7.340665,-2.474022
8.665525,-2.584111
10.086631,-2.687479
11.602701,-2.787946
13.212870,-2.888769
14.916565,-2.992541
16.713342,-3.101071
18.602694,-3.215268
20.583863,-3.335014
22.655656,-3.459036
24.816280,-3.584793
27.063220,-3.708385
29.393132,-3.824491
31.801758,-3.926361
34.271346,-4.007134
36.785185,-4.065579
39.336331,-4.102295
41.917711,-4.117974
44.522143,-4.113389
47.142358,-4.089378
49.771027,-4.046833
52.400782,-3.986691
55.024243,-3.909922
57.634040,-3.817529
60.222839,-3.710542
62.783366,-3.590022
65.308432,-3.457059
67.790954,-3.312781
70.223981,-3.158355
72.600711,-2.994995
74.914517,-2.823970
77.158965,-2.646605
79.327833,-2.464290
81.415128,-2.278477
83.415104,-2.090683
85.322279,-1.902485
87.131447,-1.715514
88.837693,-1.531443
90.436402,-1.351973
91.923272,-1.178820
93.294323,-1.013691
94.545904,-0.858262
95.674696,-0.714157
96.677723,-0.582919
97.552353,-0.465985
98.296300,-0.364662
98.907628,-0.280104
99.384750,-0.213285
99.726434,-0.164985
99.931797,-0.135775
100.000310,-0.126000
,
Camber line,
X(mm),Y(mm)
0.026754,0.955243
-0.058271,0.231498
0.000000,0.000000
0.195318,0.455300
0.521056,0.526534
0.973235,0.623960
1.547739,0.745421
2.240412,0.887005
3.047151,1.044148
3.964015,1.211989
4.987338,1.385565
6.113831,1.559954
7.340665,1.726769
8.665525,1.883288
10.086631,2.027034
11.602701,2.154101
13.212870,2.260994
14.916565,2.344684
16.713342,2.402701
18.602694,2.433270
20.583863,2.434674
22.655656,2.406524
24.816280,2.352590
27.063220,2.275772
29.393132,2.180563
31.801758,2.073183
34.271346,1.960740
36.785185,1.846092
39.336331,1.730044
41.917711,1.613291
44.522143,1.496557
47.142358,1.380582
49.771027,1.266113
52.400782,1.153886
55.024243,1.044620
57.634040,0.938995
60.222839,0.837647
62.783366,0.741154
65.308432,0.650023
67.790954,0.564683
70.223981,0.485479
72.600711,0.412666
74.914517,0.346403
77.158965,0.286757
79.327833,0.233698
81.415128,0.187107
83.415104,0.146778
85.322279,0.112424
87.131447,0.083688
88.837693,0.060152
90.436402,0.041346
91.923272,0.026762
93.294323,0.015866
94.545904,0.008111
95.674696,0.002953
96.677723,-0.000141
97.552353,-0.001673
98.296300,-0.002108
98.907628,-0.001862
99.384750,-0.001286
99.726434,-0.000666
99.931797,-0.000209
100.000310,-0.063000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
